share,expected_cost,cost_volatility,distress_prob,welfare,effective_yield
0.0,0.5153920210717937,0.019998842893570498,0.1511,1.2716919285059571,0.039999999999999994
0.05,0.5145942385922562,0.018333923508836496,0.1843,1.4367665040947117,0.03987152429919616
0.1,0.5137964561127186,0.01706688426992748,0.2498,1.7633790131900846,0.03974304859839233
0.15,0.5129986736331812,0.016290828077400083,0.3245,2.136029455792076,0.03961457289758849
0.2,0.5122008911536436,0.01607701382473729,0.3996,2.5107178319006853,0.03948609719678465
0.25,0.5114031086741062,0.01644738340597857,0.4701,2.8624441415159128,0.039357621495980814
0.3,0.5106053261945687,0.01736459678756759,0.5328,3.1752083846377586,0.03922914579517697
0.35,0.5098075437150311,0.018748567294474116,0.5827,3.424010561266222,0.03910067009437314
0.4,0.5090097612354936,0.020505001411975678,0.6321,3.6703506714013034,0.0389721943935693
0.45,0.508211978755956,0.022547020723898376,0.6722,3.870228715043004,0.03884371869276546
0.5,0.5074141962764186,0.02480419233621122,0.7046,4.031644692191322,0.038715242991961635
